               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12828,             0.39046,                   0,             0.01558,            0.037456,           0.0080962,           0.0018613,             0.11864,             0.41364,                   0,            0.070484,           0.0032796,           0.0032796
                   1,             0.12162,             0.37911,                   0,              0.1072,             0.23519,            0.086428,            0.023107,             0.11194,             0.45483,                   0,            0.040418,           0.0065474,           0.0065474
                   2,              0.1128,             0.40512,                   0,             0.11561,             0.26585,            0.083154,            0.020925,             0.10922,             0.49588,                   0,            0.010287,           0.0097493,           0.0097493
                   3,             0.10622,              0.4158,                   0,             0.14362,             0.16568,            0.081452,            0.021369,              0.1091,             0.46426,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.10204,             0.41116,                   0,            0.045712,            0.081185,            0.024356,           0.0063558,             0.11554,             0.44791,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.098588,              0.4033,                   0,             0.46468,             0.50836,             0.42491,             0.14209,            0.087962,              0.3985,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.094097,             0.40164,                   0,             0.33566,             0.35383,             0.26409,            0.075218,            0.097691,             0.48462,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.091109,             0.39434,                   0,             0.57973,             0.52389,             0.53908,             0.22204,            0.083443,              0.4147,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.090686,              0.4083,                   0,             0.64029,             0.58902,             0.60252,             0.22134,            0.082886,             0.38806,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.090027,             0.39096,                   0,             0.59299,             0.62073,             0.61238,             0.23338,             0.08107,             0.38068,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.086704,             0.38794,                   0,             0.74379,             0.69686,             0.72682,             0.33381,            0.073658,             0.36844,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.085639,              0.3794,                   0,              0.7464,             0.67428,              0.7109,             0.30943,            0.076821,             0.42303,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.086067,             0.38264,                   0,             0.79513,             0.68554,             0.75193,             0.33796,            0.075006,             0.38699,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.08412,             0.37577,                   0,             0.79898,             0.71446,             0.77274,              0.3593,            0.072716,             0.37607,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.084472,             0.39316,                   0,             0.82213,             0.71345,             0.78798,             0.39813,            0.070548,             0.36362,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.083007,             0.38358,                   0,             0.76169,             0.70732,             0.75551,             0.32402,            0.074288,             0.35974,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.08172,              0.3749,                   0,             0.79367,             0.73206,             0.78592,             0.34146,            0.074484,             0.36133,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.081469,             0.37594,                   0,             0.83285,             0.75871,               0.821,             0.40487,            0.069634,             0.34818,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.081332,             0.36995,                   0,              0.8389,             0.74843,              0.8138,              0.4022,            0.069653,             0.35352,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.080482,             0.38006,                   0,             0.88396,             0.75453,             0.83771,             0.42718,            0.067527,              0.3432,                   0,            0.008218,            0.008218,            0.008218
